commentId,"movieName","comment","sentenceSegment","wordSegment",star,"commenter","commentTime"
1,NULL,NULL,NULL,"非
常
可
怕
直
男
癌
婚
姻
中
年
危
机
下
的
意
淫
基
佬
设
定
是
娘
炮
非
常
傻
逼",-1,NULL,NULL
2,NULL,NULL,NULL,"剧作 很 直 男癌
看 的 很 恶心
你国 那些 中年 男人 和 家庭 已经 够 悲惨 了
这部 片子 却 拿 来 调侃
而且 是 用 最 低俗 的 模式
没有 人物
都 是 符号
闫妮 表演 还 行
喜剧 用 一个 很 老 的 套子 坚持 了 一个 多 小时
过年 其实 可以 多 出去 旅游 或者 聚会 啥 的
为啥 非 要 去 电影院 呢
我们 的 娱乐 项目 难道 只 剩下 电影院 了 咩
奇怪",-1,NULL,NULL
3,NULL,NULL,NULL,"一 副 烂 片相
却 意外 能 看 下去
直男 或 直男癌 视角 性 喜剧
三 观 不 正 又 会 很多 人 不 喜欢 吧
不过 中年 男 的 意淫 不 都 那样
如 所有 中年 危机 一样
都 是 在 对 生活 与 工作 失去 激情
如何 被 梦 中 女神 唤醒
改编 自 76年 法国 片
豆瓣 叫 大象 骗人
剧情 基本 类似
包括 模仿 七 年 之 痒
各种 误会 与 巧合 咬 的 比较 好
不 会 很 出 戏",0,NULL,NULL
4,NULL,NULL,NULL,"你 国 直男癌 的 典型 嘴脸",-1,NULL,NULL
5,NULL,NULL,NULL,"被 骗 了
看 完 想吐",-1,NULL,NULL
7,NULL,NULL,NULL,"现在 通俗 影视剧 几乎 都 是 取悦 女人 的
这样 的 影视剧 大家 都 会 说 三 观 很 正
偶尔 有 取悦 男人 的 通俗 影视剧
男人 自己 都 会 觉得 这样 的 影视剧 是 不 是 三 观 不 正
男人 做 个 白日 梦
也 要 道德 审查 一下
刚 看 完 情圣
笑 到 肚子 痛
看 完 后
一个 人 怅然若失 地 走 出 电影院",1,NULL,NULL
9,NULL,NULL,NULL,"竟然 不错
我 觉得 挺 好笑
并 不 是 说 有 多么 好
而是 今年 贺岁 档 的 其他 片子 实在 不 能 看
故事 改编 自 红衣 女郎
有着 原作 的 底子 故事 还是 不错 的
天南海北 几 位 喜剧 演员 的 烂仔帮 笑料
还是 属于 屎尿屁 那种
中产阶级 的 平淡 生活 中 的 绮梦
就 像 片中 飞舞 的 火红 连衣裙
摄影 很 好
很 纯粹 的 喜剧片
这个 要 加分",1,NULL,NULL
10,NULL,NULL,NULL,"去 看 长城
走 错 了 放映厅
提前 看 了",-1,NULL,NULL
11,NULL,NULL,NULL,"看 的 过程 中 全程 捏一把汗
这个 片子 的 价值观 要 往 哪 去 啊
还 掰 得 回来 吗
紧张 得 都 忘 了 电影 不 好笑 这 一 点",-1,NULL,NULL
12,NULL,NULL,NULL,"除了 觉得 闫妮 很 美 之外
坐 在 影院 里 简直 令 人 觉得 度日如年",-1,NULL,NULL
14,NULL,NULL,NULL,"其实 没 太 难看
又 一个 诚实 翻拍
最后 一 行 字幕 注明 翻 拍 红衣 女郎 它 本身 就 是 翻 拍
但 原本 就 一 勉强 三 星 的 商业 喜剧
连续不断 会错 意表 错情 的 意淫 套路
对 女神 糟糠妻 和 女 老总 过于 片面 武断 的 直男 印象 模式
导致 最后 抛 出 的 合理性 和 释压 借口
实在 不 太 令 人 接受
用醉乡 民谣 OST 又 是 什么 鬼",-1,NULL,NULL
16,NULL,NULL,NULL,"教 你 看穿 男人 的 套路",0,NULL,NULL
17,NULL,NULL,NULL,"改编 自 话剧
前 有 75 年 法版 大象 骗人 84年 美 版 红衣 女郎
不过 只是 借用 了 原版 的 壳
内容 和 细节 方面 的 本土 化 移植 贴合 国情
把 我国 渣男 嘴脸 诠释 的 淋漓尽致
用 荤段子 包裹 的 双关语 编排 得当
笑点 密集
迎合 大众 趣味
就 是 同 夏洛 一样 三 观 超级 不 正
结尾 附加 的 帽 至少 给 掰扯 回来 了",0,NULL,NULL
18,NULL,NULL,NULL,"改进 了 港 囧夏洛 最 粗糙 的 那 一部分
演员 集体 在线 闫妮 还 瘦 了
完成 度 不 低 且 包袱 抖 的 炉火纯青
非 要 揪 着 三 观 不 正 贬低 女性 不 撒手
那 只能 推荐 你 再 看 一 遍 海洋 奇缘 零零 发 了
话说 回来 了
在 2016年 最后 两 天 上映 一 部 可能 是 年度 最 强 喜剧 是 怎样 的 节奏",1,NULL,NULL
19,NULL,NULL,NULL,"三 观 不 正
烂",-1,NULL,NULL
20,NULL,NULL,NULL,"掰开 了 揉 碎 了 演示 一下 什么 叫 意淫",-1,NULL,NULL
21,NULL,NULL,NULL,"犯傻 弱智 闹剧
只是 能 逗
肖央 跳楼 艳遇 泰国 游
有 贼心 没 贼 胆 想 去 出轨
却 到处 滑稽 碰壁
咋 可能 勾 搭 上 女 老板 和 模特
小沈阳 延续 二 人 转 那种 狡猾 闹腾
外遇 时 被 捉奸 后 裸奔 狂逃
男闺蜜 团 出谋划策 很 仗义 逗逼
克拉拉 性感 女 模特 yoyo
搔首弄姿 秀 性感 身躯
山寨 七 年 之 痒
色诱 镜头 很 香艳 勾欲 火
低俗",-1,NULL,NULL
22,NULL,NULL,NULL,"真的 很 俗套
但 真的 是 好笑",0,NULL,NULL
23,NULL,NULL,NULL,"学 得 了 人家 的 欲望 却 学 不 来 人家 的 教养
所以 男人 交朋友 就 是 为了 出轨 互相 罩 着
动物城 好像 不 是 公映 版 啾啾 好像 是 故意 整 男主",-1,NULL,NULL
24,NULL,NULL,NULL,"我 预测
在 喜剧路 上
肖央 未来 会 取代 徐峥
成为 第二 个 喜剧 爆款
他 长相 平凡
演技 自然
适合 喜剧 里 各种 小人物 的 塑造
并且 他 的 模样 与 我 的 影帝 宋康昊 相似
如果 将来 戏路 能 扩宽
说不定 能 带 出 更 多 惊喜
这部 电影 尺度 较 大
能 拿下 龙标
说不定 因为 有 一个 虽然 我 反感 但 社会 正三观 的 片尾",1,NULL,NULL
25,NULL,NULL,NULL,"这 是 一 部 摄影师 和 录音师 联合 翻 拍 的 一 部 外 国外 电影 红衣 女郎
所以
不 需要 编剧 和 导演
这个 行业 要 疯 了 吗",-1,NULL,NULL
28,NULL,NULL,NULL,"欢乐 的 喜剧 人们 瞅 准 了 中年 危机 这根 绳 不 放
为了 大众 审美 故事 讲 的 老套
技巧 倒是 可圈可点
风扇 和 滚筒 洗衣机 吱 呦呦 的 转
男人 垂涎 曼妙 女子
中国 异性 恋 婚后 想 出轨 太 猥琐 无 趣 了
折腾 一 帮 参差不齐 的 所谓 哥们
都 是 萎靡 笑点
邓超 拍 了 屎 以后 拼 了 命 的 想 以 死 偿还
代 乐乐 要是 真帮 着 女人 和 小沈阳 离婚 就 好 了",-1,NULL,NULL
29,NULL,NULL,NULL,"价值观 打负分
这 两 年 直男癌 喜剧 看 吐 了
男人 都 是 屎 做 的",-1,NULL,NULL
30,NULL,NULL,NULL,"男人 不 出轨
除非 山 无 陵
江水 为 竭
冬雷 震震
夏雨 雪
天地合
精虫 绝",0,NULL,NULL
31,NULL,NULL,NULL,"又 是 翻 拍
以 暧昧 情色 黄 段子 为 噱头
前任 攻略 开 了 个头
后面 必然 有 大批 跟风者
还 好 大多数 都扑街 了
喜剧 拿性 做 卖点 可以
但 通篇 都 是 性 就 LOW 了
家长 们 如果 带 小朋友 去 看
就 TM 尴尬 了",-1,NULL,NULL
32,NULL,NULL,NULL,"庸俗
粗鲁
廉价
有 种 中国 直男 的 龌龊 下 流感
尤其 是 隔壁 一 对 老夫 少 妻 全程 笑 成 傻x
突然 明白 原来 中国 观众 只 配 看 这个
",-1,NULL,NULL
33,NULL,NULL,NULL,"夏洛特 烦恼 乘以 2 倍 的 恶心
观影 过程 让 人生 理性 反胃
没有 愤 而 离席 已经 是 我 最后 的 优雅",-1,NULL,NULL
35,NULL,NULL,NULL,"男主 价值 观崩坏
人物 最后 生硬 回归 家庭
看似 有所 转变
然而 并 没有",-1,NULL,NULL
36,NULL,NULL,NULL,"细节 打败 全整",-1,NULL,NULL
38,NULL,NULL,NULL,"算是 国产 的 婚外情 喜剧 里面 走 得 最 远 的 一 部
最后 男 主角 回归 家庭 完全 没有 内心 动力
而是 被 外力 打断 了 猎色 之 旅
也 是 同类 喜剧 中 笑点 做 得 最 不 生硬 的 一 部
大约 与 好莱坞 原著 剧本 有关",0,NULL,NULL
39,NULL,NULL,NULL,"套路 满满的 小 片儿
笑果 排名
第一 名 常远
第二 名 艾伦
第三 名 乔杉
第四 名 小沈阳
第五 名 肖央",0,NULL,NULL
41,NULL,NULL,NULL,"有 好笑 的 地方
但是 又 没有 那么 好笑
全 靠 喜剧 人 的 演技
很多 细节 才 没 那么 尴尬
没有 想象 中 的 那么 黑马 准备 补 补 红衣 女郎",0,NULL,NULL
44,NULL,NULL,NULL,"误会 传情 错 中错
邓超 开场 不错
韩国 妹子 漂亮
东南亚 神曲 原声 绝对 加分
各路 偷食 掩护 啊 跳楼 传话 啊 之类 的 也 真是 好笑
但是 最后 居然 用 国产 恐怖片 的 方法 来 敷衍 结局
价值观 凌乱 掉 了 兜 不 回来
烂尾 严重 啊",0,NULL,NULL
45,NULL,NULL,NULL,"好笑 是 确实 挺 好笑 的 我 都 要 在 电影院 笑 不行 了
这种 电影 看 完 也 不要 细 想
就 图 个 乐吧",0,NULL,NULL
46,NULL,NULL,NULL,"挺 多 地方 很 搞笑
虽然 挺直 男癌 的 样子
这 简直 就 是 所谓 已婚 男 的 高配 终极 幻想
克拉拉 漂亮 可爱 得 都 要 失真 了
而 闫妮 也 超 美 超 可爱 的
没 看 够
不过
三 观 不 正
所以 要 用 春梦 来 圆
另
我 对 银幕 上 凡是 塑造 同性恋 便 一定 要 与 娘娘腔 等 刻板 印象 挂钩 的 想当然 行径 表示 极度 厌倦
乔杉 再 萌 也 不行
扣 一 星",-1,NULL,NULL
48,NULL,NULL,NULL,"跨年 夜 看 的
周围 人 笑 得 前仰 后 合
改编 自 红衣 女郎
又 又 改编 自 大象 骗人
弥补 了 国内性 喜剧 空档
抽空 看 完 原版 再 补 评价
剧本 在 国产 片 里 算 很 扎实 的 了
没 那些 乱七八糟 的 网络 流行语
靠 误会 和 巧合 制造 笑料
情节 推动 场景 转换 都 处理 得 比较 流畅
尽管 是 直男癌 精神 出轨 的 故事
作为 女 观众 我 不 反感",0,NULL,NULL
50,NULL,NULL,NULL,"我 感觉 已经 看到 上映 后 排山倒海 的 直男癌 和 低级 趣味 差评 了
三观歪
贬低 女性
拿 gay 开玩笑
在 豆瓣 上 这 就 是 作死 啊 改编 的 还 挺 接 地气
但 问题 也 非常 多
今年 一 整 年 过去 了
都 还 没 一 部 喜剧 能 和 去年 的 夏洛特 烦恼 媲美
有点 失望
闫妮 不 演 大妈 还是 很 美 的
克拉拉 也 是 漂亮 得 不像话",0,NULL,NULL
52,NULL,NULL,NULL,"三 观 问题 就 不 提 了
只是 吃 相 难看
但 这 是 电影 表达 的 自由
技术 上 每 一 场 戏 节奏 都 很 慢
演员 对 手戏 之间 毫无 火花
干巴巴 的 交出 自己 的 三 脚 猫 搞笑 功夫
闫妮 在 这 里面 真是 大材 小 用 了",-1,NULL,NULL
53,NULL,NULL,NULL,"比 预期 好
尤其 是 第一 幕 蓝 鲸鱼 饭店 那场 戏
用 误会 不断 叠加 制造 喜剧 性 情景
有 摩登 家庭 的 味道 了
反而 是 越 往后 情节 越 疲软
并 不 算 直男癌
对 中年 男人 的 描绘 很 写实
滚筒 洗衣机 电风扇 的 意向 很 加分
唯一 直男癌 的 想象 是 闫妮 的 刻画
一个 事业有成 的 美女 凭 啥 这么 如饥似渴
但 她 在 爱情 上 也 是 掌握 主动 的",1,NULL,NULL
54,NULL,NULL,NULL,"老板 我 不 想 上班 放肆 任性 一 回
全部 看 下来 其实 和 情圣 关系 也 不大
这个 烂片 片名 降低 了 无数 期待
不 难 让 人 联想 到 去年 的 夏洛特
同样 的 密集 笑点 和 植根 小人物 的 市民 遐想
兄弟 帮衬 光影 迷离 刹那 音乐 的 背影 还 挺 朦胧
前面 玩 得 很 开
但 也 难 逃脱 规则 束缚 的 稍许 刻意",0,NULL,NULL
55,NULL,NULL,NULL,"一 股 清泉 与 去年 的 两 部 中年 危机 电影 相比",1,NULL,NULL
56,NULL,NULL,NULL,"笑点 蛮 多 的
但是 故事 本身 的 问题 也 挺 大 的
各种 用 巧合 硬生生 掰故事线
主题 模糊
节奏 也 不好
整个 故事 总 给 人 一 种 看不到 头 的 感觉
不过
肖央 和 闫妮 的 表演 相当 精彩",0,NULL,NULL
58,NULL,NULL,NULL,"嗯
尚可一观
不 是 通常 意义 的 烂片
这 次 终于 抄 出 亚洲 抄 向 世界 了
改编 自 1984年 的 好莱坞 老 电影 红衣 女郎
本土 化 得 还 挺 成功
虽然 主要 还是 靠 误会 错 摸 的 老 桥段 制造 笑料
但 胜 在 并 不 低俗
两 位 导演 都 是 科班出身
一个 摄影师 一个 录音师
终于 也 耐 不 住 寂寞 了
看来 还是 当 导演 最好 赚",0,NULL,NULL
61,NULL,NULL,NULL,"很 像 香港 的 大丈夫
已婚 男人 的 那 点 小 九九 啊
还 好 我 是 一个 人 去 看 的
隔壁 的 情侣 看 完 在 吵架
这部 片子 绝对 不 适合 情侣
特别 是 已婚 夫妻 去 看
适合 男人 和 酒肉 朋友 一起 消遣",0,NULL,NULL
62,NULL,NULL,NULL,"很 不 喜欢
看 完 胸闷",-1,NULL,NULL
63,NULL,NULL,NULL,"网上 有 段 Gif 视频
女友 或 老婆 把 男人 赶 出 了 家门
从 二 楼 窗户 把 男人 的 衣服 一件件 扔 出来
男人 捡 起 衣服 又 扔 了 回去
路过 一 对 小 情侣
小伙子 立刻 抽 身 出来
帮忙 男人 把 衣服 扔 回去
然后 旁边 的 筑路 工人 也 奔 了 过来 加入 团队
再 然后 是 地中海 大叔
一件件 衣服 把 二 楼 的 女子 扔 的 抱头
男人 之间 的 友谊 就 是 这样",1,NULL,NULL
66,NULL,NULL,NULL,"三 观 不 正 吗
就 看 你 怎么 圆 了
要是 国外 片 肯定 都 说 是 罗曼蒂克
迎接 新年
一 部 喜剧
我 也 笑 了
满足",1,NULL,NULL
67,NULL,NULL,NULL,"肉体 出轨 这 事儿 有 那么 有意思 吗
男主 以 极其 龌龊 的 心态 撑 了 快 俩 小时",-1,NULL,NULL
69,NULL,NULL,NULL,"为什么 这部 电影 里 男人 都 那么 丑
女人 却 各 有 各 的 好看
为什么 男主 肥头 大 耳 没 钱 没 内涵 人品
家里 却 有 贤惠 漂亮 的 妻子 公司 里 有 暗恋 他 的 美女 老板 还 能 撩 到 韩星 模特
Excuse
me
YY 过头 了 知道 吗
要不是 不少 搞笑 的 地方
直接 1 星",-1,NULL,NULL
70,NULL,NULL,NULL,"本土 化 程度 不错
而且 懂得 巧妙 的 掩饰 住 巧合 的 突兀
最后 往 回收 那 一下 泄劲 了",0,NULL,NULL
71,NULL,NULL,NULL,"电影 总体 算 不 上 差强人意
顶多 算 勉为其难
所有 包袱 都 是 观众 先 猜 到 就 没有 那么 好笑 了
三观 崩塌 到 令人担忧 是 如何 过 审 的 时候 愣是 硬 生生 给 掰 了 回来
看来 中国 不光 是 鬼片 无 鬼 一 场 梦
出轨 这种 电影 也 只能 由 一场春梦 的 意淫 来 完成
不 明白 所谓 情圣 之 情 在 哪里 圣 在 哪里
舍友 同窗 情 倒是 还 不错",-1,NULL,NULL
73,NULL,NULL,NULL,"时间 点 有 就 顺便 看 了
是 我 看 过 的 最 恶心 的 电影
最最 恶心
三观 极其 不 正
不 想 多 说
P
S
心疼 演员
他们 也 不 是 故意 的",-1,NULL,NULL
77,NULL,NULL,NULL,"婚姻 果然 是 爱情 的 坟墓",-1,NULL,NULL
78,NULL,NULL,NULL,"其实 还 行
难得 没有 低俗化
各种 YY 与会 错意 组成 的 性 喜剧 成分
慢慢 变为 对 珍惜 家庭 主题 的 审视",0,NULL,NULL
79,NULL,NULL,NULL,"人 到 中年 就 不要 胡 思 乱 想 了
收收 心 吧",-1,NULL,NULL
80,NULL,NULL,NULL,"终于 看到 比 夏洛特 烦恼 更 意淫 更 难看 的 电影 了",-1,NULL,NULL
